custom_field_id,custom_field_name,custom_field_type,canonical_field_name,field_role,is_active
cf_tHxOwx1Ysk0Xo6sRXhqIHToin8itnyaCHC1vkmHqugh,Triage Call Date,date,triage_call_date,event_date,true
cf_h3tYb9J6yPK7J4PMExDGsEqPCf8kBGBrRNIur2Dm5aN,Triage Call Outcome,choices,triage_outcome,outcome,true
cf_Q2fsrD8VpPaunZLtyiy7P3vG6qJTv0w1ESmlhdHU2ra,Prospecting Call Outcome,choices,prospecting_outcome,outcome,true
cf_dhJR4N7Rm6czuJthYGJP6KqUcuOzi7fqApGI7puWnMo,Strategy Call Outcome,choices,strategy_outcome,outcome,true
cf_LGyzSTMPy37y87rDOUmFXlZA42HPSIpbipeT2OsQNHW,Offer Presented,choices,offer_presented,strategy_attribute,true
cf_aIN5Gtqq33tUCCBxFTW63FY6d3mofnKIfFqfWPkvNla,Objections Faced?,choices,objections_faced,strategy_attribute,true
cf_vIanPjPEit6ssajmWkcprF2V1nO1itfes8hOSnjmhfT,Contract Value,number,contract_value,revenue,true
cf_eyLbGJm9DYY7cuJk2otnCxhUEzK9ayEARiE81xPG5uY,Cash Collected,number,cash_collected,revenue,true
cf_KTd6MrsBY2TiQPmD2eTT9Qf8OmIS1UZZkNOOseWTENf,Additional Cash Collected,number,additional_cash_collected,revenue,true
cf_v385AJ8HSgepKQ3rvqo4yOA3nn49eGqz39DOqojJG5M,Setter,user,setter_user_id,user_assignment,true
cf_2EhwTenPM15GQ3FhIyqCj4ZljlBNI90dScVTabC6j95,Setter,user,setter_user_id,user_assignment,true
cf_Lv5lSqLOZwLrNhe5M7kWx2mF8Ge2Z23aw5NUNhbXvVS,Closer,user,closer_user_id,user_assignment,true
cf_7lUQ1Gejyg7Qy4DtWURpl9fqjnSBisSyXHkUPNz7d1r,Closer,user,closer_user_id,user_assignment,true
cf_CRUmsrljqW9rMXtkb72i8c1fExdOFtUGQLoQwJvfrlP,Closer Name,user,closer_user_id,user_assignment,true
cf_7KYIa6GWyXuEqYwld2RAeoA8EntERIl7VzJHWvoxjJc,Closer,user,closer_user_id,user_assignment,true
cf_wp24VoqhLv6QwwkDkkNCE9XFTchjquWWMIuVM9lGMB5,Avatar,choices,avatar,lead_attribute,true
cf_6HQaICYRIBuewU3z3c7cMZIKicrS6NWcSMZT8rsMD3E,Lead Quality,choices,lead_quality,lead_attribute,true
cf_62mvcO7UbxQVhUegjATbPS9ApH3fXpZkf1FC2XrpjmU,Next Action Date,date,next_action_date,next_action,true
cf_7Df2ZW0hUOYqwr28Z4msBZ4PywPXVmz9O37tC2Mv2qo,Next Action,richtextarea,next_action,next_action,true
