canonical_field_name,field_name,raw_value,normalized_value,outcome_category,outcome_subcategory,is_taken,is_set,is_sale,is_cancel,is_no_show,is_follow_up,is_unqualifie
triage_outcome,Triage Call Outcome,1. Strategy Call Scheduled,Strategy Call Scheduled,set,set,true,true,false,false,false,false,false
triage_outcome,Triage Call Outcome,2. Unqualified,Unqualified,unqualified,unqualified,true,false,false,false,false,false,true
triage_outcome,Triage Call Outcome,3. Follow Up < 10 Days,Follow Up < 10 Days,follow_up,short_follow_up,true,false,false,false,false,true,false
triage_outcome,Triage Call Outcome,4. Follow Up < 1 Month,Follow Up < 1 Month,follow_up,monthly_follow_up,true,false,false,false,false,true,false
triage_outcome,Triage Call Outcome,5. Long Term Follow Up,Long Term FollowUp,follow_up,long_term_follow_up,true,false,false,false,false,true,false
triage_outcome,Triage Call Outcome,6. No Show,No how,no_show,no_show,false,false,false,false,true,false,false
triage_outcome,Triage Call Outcome,7. Reschedule,Reschedule,reschedule,reschedule,false,false,false,false,false,false,false
triage_outcome,Triage Call Outcome,8. Cancel,Cancel,cancel,cancel,false,false,false,true,false,false,false
triage_outcome,Triage Call Outcome,9. Inaccurate Prospect,Inaccurate Prospect,bad_contact,inaccurate_prospect,true,false,false,false,false,false,true
triage_outcome,Triage Call Outcome,10. Not Interested,Not Interested,not_interested,not_interested,true,false,false,false,false,false,true
prospecting_outcome,Prospecting Call Outcome,1. Triage Booked,Triage Booked,set,triage_booked,true,true,false,false,false,false,false
prospecting_outcome,Prospecting Call Outcome,2. Strategy Call Scheduled,Strategy Call Scheduled,set,strategy_call_scheduled,true,true,false,false,false,false,false
prospecting_outcome,Prospecting Call Outcome,3. Follow Up,Follow Up,follow_up,follow_up,true,false,false,false,false,true,false
prospecting_outcome,Prospecting Call Outcome,4. Unqualified,Unqualified,unqualified,unqualified,true,false,false,false,false,false,true
prospecting_outcome,Prospecting Call Outcome,5. Inaccurate Contact,InaccurateContact,bad_contact,inaccurate_contact,true,false,false,false,false,false,true
prospecting_outcome,Prospecting Call Outcome,6. Not Interested,Not Interested,not_interested,not_interested,true,false,false,false,false,false,true
strategy_outcome,Strategy Call Outcome,1. Follow Up,Follow Up,follow_up,follow_up,true,false,false,false,false,true,false
strategy_outcome,Strategy Call Outcome,2. Admin Cancel,Admin Cancel,cancel,admin_cancel,false,false,false,true,false,false,false
strategy_outcome,Strategy Call Outcome,3. Cancel- Not Interested,Cancel - Not Interested,cancel,not_interested_cancel,false,false,false,true,false,false,false
strategy_outcome,Strategy Call Outcome,4. No Show,No Show,no_show,no_show,false,false,false,false,true,false,false
strategy_outcome,Strategy Call Outcome,5. Reschedule,Reschedule,reschedule,reschedule,false,false,false,false,false,false,false
strategy_outcome,Strategy Call Outcome,6. Sale,Sale,sale,sale,true,false,true,false,false,false,false
strategy_outcome,Strategy Call Outcome,7. Lost,Lost,lost,lost,true,false,false,false,false,false,false
strategy_outcome,Strategy Call Outcome,8. Cancel- Nurture,Cancel - Nurture,cancel,nurture_cancel,false,false,false,true,false,false,false
strategy_outcome,Strategy Call Outcome,8. Cancel,Cancel,cancel,cancel,false,false,false,true,false,false,false
